Name,Date,Location,Type,Region,Latitude,Longitude
Science Fiction and Fantasy Hall of Fame,Ongoing|MoPOP Museum of Pop Culture,Ongoing,Museums,Queen Anne / Seattle Center,15.6719272,121.0857257
OBOE / OBOE,2/9/2024|415 Westlake,2/9/2024,Music,Queen Anne / Seattle Center,47.78185805,19.126043836708632
Not Available,Top Results,,Not Available,Not Available,,
Calendar,Not Available,Not Available,Not Available,Not Available,26.673956,-80.128403
Elizabeth Malaska: All Be Your Mirror,Now through 6/16/2024|Seattle Art Museum,Now through 6/16/2024,Museums,Downtown,,
October London,1/25/2024|The Showbox,1/25/2024,Music,Downtown,49.3840843,18.6000893
Jaha Koo: The History of Korean Western Theatre,2/1/2024 through 2/3/2024|On The Boards,2/1/2024 through 2/3/2024,Theatre,Queen Anne / Seattle Center,,
Stew,3/15/2024 through 3/31/2024|ACT Theatre,3/15/2024 through 3/31/2024,Theatre,Downtown,,
Neck Deep,2/5/2024|Showbox SoDo,2/5/2024,Music,Pioneer Square,46.84897075,6.715939496542806
Futurebirds and Nude Party,2/8/2024|The Neptune Theatre,2/8/2024,Music,University District,47.846262949999996,19.099619263592235
Raul de Nieves,Now through 9/30/2024|Henry Art Gallery,Now through 9/30/2024,Museums,University District,,
Side-by-Side with Seattle Youth Symphony Orchestra,2/21/2024|Benaroya Hall,2/21/2024,Music,Downtown,47.8461099,19.098902149999994
Tacoma Stars vs. Harrisburg Heat,3/3/2024|accesso ShoWare Center,3/3/2024,Music,South,47.0400777,28.8885644
Not Available,Top Results,,Not Available,Not Available,,
75 Years of Porsche,Ongoing|LeMay - America's Car Museum,Ongoing,Museums,South,15.6719272,121.0857257
JP Saxe,1/31/2024|The Showbox,1/31/2024,Music,Downtown,48.933246,15.72334
Night Lovell,2/6/2024|The Showbox,2/6/2024,Music,Downtown,47.84640885,19.09982796966179
Giantish,1/30/2024|High Dive,1/30/2024,Music,Fremont / Ballard,49.3840843,18.6000893
"Together Again, Again!",5/31/2024 through 6/23/2024|Seattle Rep,5/31/2024 through 6/23/2024,Theatre,Queen Anne / Seattle Center,,
Not Available,Top Results,,Not Available,Not Available,,
The Barber of Seville,5/4/2024 through 5/24/2024|Marion Oliver McCaw Hall,5/4/2024 through 5/24/2024,Music,Queen Anne / Seattle Center,,
George Balenchine’s Coppelia,5/31/2024 through 6/9/2024|Marion Oliver McCaw Hall,5/31/2024 through 6/9/2024,Dance,Queen Anne / Seattle Center,,
Clue,7/9/2024 through 7/21/2024|The 5th Avenue Theatre,7/9/2024 through 7/21/2024,Theatre,Downtown,,
Cory Wong Winter 2024 Tour,2/16/2024|The Paramount Theatre,2/16/2024,Music,Downtown,47.5838592,19.0586465
Winter Brilliance,Now through 2/29/2024|Chihuly Garden and Glass,Now through 2/29/2024,Museums,Queen Anne / Seattle Center,,
Winter in the West,Ongoing|Tacoma Art Museum,Ongoing,Museums,South,15.6719272,121.0857257
Not Available,Top Results,,Not Available,Not Available,,
The Lehman Trilogy,4/26/2024 through 5/12/2024|ACT Theatre,4/26/2024 through 5/12/2024,Theatre,Downtown,,
Not Available,Not Available,Not Available,Not Available,Not Available,26.673956,-80.128403
Noah Geller’s Playlist,5/3/2024 through 5/4/2024|Benaroya Hall,5/3/2024 through 5/4/2024,Music,Downtown,,
Harlem Globetrotters 2024 World Tour –,1/26/2024|accesso ShoWare Center,1/26/2024,Sports,South,46.3911976,16.579662
"Meet the Author: Maggie Taft, The Chieftain and the Chair",2/18/2024|National Nordic Museum,2/18/2024,Museums,Fremont / Ballard,47.5881814,19.0517333
Bach St. John Passion,3/7/2024 through 3/9/2024|Benaroya Hall,3/7/2024 through 3/9/2024,Music,Downtown,,
Not Available,with Justin Nozuka,share,Not Available,Not Available,8.8226416,4.974957
Not Available,With The Paranoyds,share,Not Available,Not Available,8.8226416,4.974957
Not Available,Top Results,,Not Available,Not Available,,
Lil Skies,2/4/2024|The Showbox,2/4/2024,Music,Downtown,47.82057035,18.863271509638494
Mark Morris Dance Group: The Look of Love,3/14/2024 through 3/16/2024|Meany Center for the Performing Arts,3/14/2024 through 3/16/2024,Music,University District,,
Not Available,Not Available,Not Available,Not Available,Not Available,26.673956,-80.128403
The Kills,2/7/2024|Showbox SoDo,2/7/2024,Music,Pioneer Square,47.782968,19.1249627
Seattle Kraken vs. Boston Bruins,2/26/2024|Climate Pledge Arena,2/26/2024,Sports,Queen Anne / Seattle Center,47.5851747,19.0545453
Not Available,Top Results,,Not Available,Not Available,,
Wild Cats Revealed | National Geographic Live,3/10/2024 through 3/12/2024|Benaroya Hall,3/10/2024 through 3/12/2024,Readings & Lectures,Downtown,,
Michelle Cann,2/1/2024|Meany Center for the Performing Arts,2/1/2024,Music,University District,47.037631950000005,28.899229096666765
Seattle Kraken vs. Vancouver Canucks,2/22/2024|Climate Pledge Arena,2/22/2024,Sports,Queen Anne / Seattle Center,47.783460950000006,19.12402103179025
Bezos Center for Innovation,Ongoing|Museum of History & Industry,Ongoing,Museums,Queen Anne / Seattle Center,15.6719272,121.0857257
Daniel Tiger’s Neighborhood,2/4/2024|The Paramount Theatre,2/4/2024,Theatre,Downtown,47.82057035,18.863271509638494
Pink Sweat$,2/24/2024|The Showbox,2/24/2024,Music,Downtown,47.5819462,19.0548965
Conrad Tao’s Playlist,3/1/2024 through 3/2/2024|Benaroya Hall,3/1/2024 through 3/2/2024,Music,Downtown,,
Beethoven Emperor Concerto,2/1/2024 through 2/4/2024|Benaroya Hall,2/1/2024 through 2/4/2024,Music,Downtown,,
Tim McGraw,3/29/2024|Climate Pledge Arena,3/29/2024,Music,Queen Anne / Seattle Center,49.3840843,18.6000893
Dale Chihuly at Tacoma Art Museum,Ongoing|Tacoma Art Museum,Ongoing,Museums,South,15.6719272,121.0857257
The Seasons’ Canon,4/12/2024 through 4/21/2024|Marion Oliver McCaw Hall,4/12/2024 through 4/21/2024,Dance,Queen Anne / Seattle Center,,
A Case for the Existence of God,2/2/2024 through 2/18/2024|ACT Theatre,2/2/2024 through 2/18/2024,Theatre,Downtown,,
Jamila Woods,2/1/2024|Neumos,2/1/2024,Music,Capitol Hill / Central District,47.037631950000005,28.899229096666765
Not Available,"with J. Brown, The Shindellas",share,Not Available,Not Available,8.8226416,4.974957
Erik Walters,2/2/2024|Barboza,2/2/2024,Music,Capitol Hill / Central District,15.1918243,120.583768
Not Available,Not Available,Not Available,Not Available,Not Available,26.673956,-80.128403
Apollo,Ongoing|The Museum of Flight,Ongoing,Museums,South Seattle,15.6719272,121.0857257
Humboldt Penguin Exhibit,Ongoing|Woodland Park Zoo,Ongoing,Museums,Wallingford / Greenlake,15.6719272,121.0857257
Not Available,Top Results,,Not Available,Not Available,,
TobyMac Hits Deep 2024,2/17/2024|accesso ShoWare Center,2/17/2024,Music,South,47.8464887,19.099136950000002
Not Available,Top Results,,Not Available,Not Available,,
Tacoma Stars vs. Empire Strykers,1/25/2024|accesso ShoWare Center,1/25/2024,Sports,South,49.3840843,18.6000893
Not Available,Top Results,,Not Available,Not Available,,
Catalyzing Change with Akuyea Karen Vargas,2/1/2024|Bainbridge Island Museum of Art,2/1/2024,Readings & Lectures,West,47.037631950000005,28.899229096666765
Celebrate Asia,1/28/2024|Benaroya Hall,1/28/2024,Music,Downtown,36.2027849,5.430848386663834
Our Material World,Ongoing|Burke Museum,Ongoing,Museums,University District,15.6719272,121.0857257
Festivals,Sensory-Friendly Programs,,Not Available,Not Available,,
History Link Tours,"Ongoing|Seattle, WA",Ongoing,Tours & Attractions,Downtown,15.6719272,121.0857257
Nordic Journeys,Ongoing|National Nordic Museum,Ongoing,Museums,Fremont / Ballard,15.6719272,121.0857257
Luis Miguel,4/4/2024|Climate Pledge Arena,4/4/2024,Music,Queen Anne / Seattle Center,46.9853315,28.8216175
Playboi Carti,2/28/2024|Climate Pledge Arena,2/28/2024,Music,Queen Anne / Seattle Center,47.5801092,19.0592475
Life on the Edge,Ongoing|Seattle Aquarium,Ongoing,Museums,Downtown,15.6719272,121.0857257
Shine On Seattle,1/30/2024 through 4/29/2024|Pioneer Square,1/30/2024 through 4/29/2024,Festivals & Special Events,Pioneer Square,,
Seattle Kraken vs. San Jose Sharks,4/11/2024|Climate Pledge Arena,4/11/2024,Sports,Queen Anne / Seattle Center,47.4908656,18.9525885
An Evening with Jinjoo Cho,4/19/2024|415 Westlake,4/19/2024,Music,Queen Anne / Seattle Center,49.3840843,18.6000893
Fat Ham,4/12/2024 through 5/12/2024|Seattle Rep,4/12/2024 through 5/12/2024,Theatre,Queen Anne / Seattle Center,,
Harlem Globetrotters,1/27/2024|Climate Pledge Arena,1/27/2024,Sports,Queen Anne / Seattle Center,-25.9579506,32.5619704
All Will Suffer,2/3/2024|Funhouse,2/3/2024,Music,Capitol Hill / Central District,47.7827245,19.125393278504678
JVNA,2/10/2024|The Showbox,2/10/2024,Music,Downtown,46.98492935,6.852323071619049
Not Available,with The Undercover Dream Lovers,share,Not Available,Not Available,8.8226416,4.974957
Tacoma Stars vs. Harrisburg Heat,3/1/2024|accesso ShoWare Center,3/1/2024,Sports,South,-26.1457423,27.984071
Not Available,With SOLOMON,share,Not Available,Not Available,8.8226416,4.974957
Mau P,2/3/2024|The Showbox,2/3/2024,Music,Downtown,47.7827245,19.125393278504678
Funky Friday with F2D,Now through 2/23/2024|Sea Monster Lounge,Now through 2/23/2024,Music,Wallingford / Greenlake,,
Not Available,Top Results,,Not Available,Not Available,,
Dar Williams,1/25/2024|The Neptune Theatre,1/25/2024,Music,University District,49.3840843,18.6000893
Cold War Kids – 20 Years Tour,2/3/2024|The Moore Theatre,2/3/2024,Music,Downtown,47.7827245,19.125393278504678
Not Available,"with DRAIN, Bearings and Higher Power",share,Not Available,Not Available,8.8226416,4.974957
Manazma Sheen,Ongoing|Sea Monster Lounge,Ongoing,Music,Wallingford / Greenlake,15.6719272,121.0857257
Not Available,Not Available,Not Available,Not Available,Not Available,26.673956,-80.128403
Madonna,2/17/2024 through 2/18/2024|Climate Pledge Arena,2/17/2024 through 2/18/2024,Music,Queen Anne / Seattle Center,,
Tacoma Stars vs. Empire Strykers,3/23/2024|accesso ShoWare Center,3/23/2024,Sports,South,49.3840843,18.6000893
Not Available,Top Results,,Not Available,Not Available,,
Olympic Sculpture Park,Ongoing|Olympic Sculpture Park,Ongoing,Visual Arts & Galleries,Downtown,15.6719272,121.0857257
Not Available,Top Results,,Not Available,Not Available,,
Not Available,Not Available,Not Available,Not Available,Not Available,26.673956,-80.128403
Joshua Bell Plays Elements Concerto,6/20/2024 through 6/22/2024|Benaroya Hall,6/20/2024 through 6/22/2024,Music,Downtown,,
The Cookers,2/20/2024 through 2/21/2024|Dimitriou's Jazz Alley,2/20/2024 through 2/21/2024,Music,Downtown,,
Nirvana: Taking Punk To the Masses,Ongoing|MoPOP Museum of Pop Culture,Ongoing,Museums,Queen Anne / Seattle Center,15.6719272,121.0857257
Not Available,Top Results,,Not Available,Not Available,,
Lee Ritenour and Dave Grusin,1/25/2024 through 1/28/2024|Dimitriou's Jazz Alley,1/25/2024 through 1/28/2024,Music,Downtown,,
BLACKSTAR SYMPHONY: The Music of David Bowie,2/23/2024|Benaroya Hall,2/23/2024,Music,Downtown,47.8460175,19.09874316108224
Mindi Abair Wine and Jazz Tour 2024,2/15/2024 through 2/18/2024|Dimitriou's Jazz Alley,2/15/2024 through 2/18/2024,Music,Downtown,,
Not Available,Not Available,Not Available,Not Available,Not Available,26.673956,-80.128403
G3- 25th Anniversary reunion,1/31/2024|The Moore Theatre,1/31/2024,Music,Downtown,48.933246,15.72334
Moontricks,2/9/2024|The Crocodile,2/9/2024,Music,Downtown,47.78185805,19.126043836708632
Not Available,Not Available,Not Available,Not Available,Not Available,26.673956,-80.128403
Girl From The North Country,6/25/2024 through 6/30/2024|The Paramount Theatre,6/25/2024 through 6/30/2024,Music,Downtown,,
Jon Batiste,2/17/2024|The Paramount Theatre,2/17/2024,Music,Downtown,47.8464887,19.099136950000002
Sound Check! The Music We Make,Now through 9/14/2024|Wing Luke Museum,Now through 9/14/2024,Museums,International District,,
Porcelain Room,Ongoing|Seattle Art Museum,Ongoing,Museums,Downtown,15.6719272,121.0857257
Poolside,2/2/2024|The Showbox,2/2/2024,Music,Downtown,15.1918243,120.583768
Seattle Chamber Music Winter Festival,1/26/2024 through 2/4/2024|Benaroya Hall,1/26/2024 through 2/4/2024,Music,Downtown,,
Something’s Afoot,3/1/2024 through 3/24/2024|The 5th Avenue Theatre,3/1/2024 through 3/24/2024,Theatre,Downtown,,
Adira Sharkey,1/29/2024|Tractor Tavern,1/29/2024,Music,Fremont / Ballard,12.7735862,101.0683973
University District Farmers Market,Ongoing|University District Farmers Market,Ongoing,Festivals & Special Events,University District,15.6719272,121.0857257
Blood Sweat  and Tears,2/8/2024 through 2/11/2024|Dimitriou's Jazz Alley,2/8/2024 through 2/11/2024,Music,Downtown,,
"Wild Blue Angel: Hendrix Abroad, 1966-70",Ongoing|MoPOP Museum of Pop Culture,Ongoing,Museums,Queen Anne / Seattle Center,15.6719272,121.0857257
Vietnam Divided: War Above Southeast Asia,Ongoing|The Museum of Flight,Ongoing,Museums,South Seattle,15.6719272,121.0857257
Beethoven Symphony No. 5,6/13/2024 through 6/15/2024|Benaroya Hall,6/13/2024 through 6/15/2024,Music,Downtown,,
Chihuly Garden and Glass Gallery Talks & Tours,Ongoing|Chihuly Garden and Glass,Ongoing,Tours & Attractions,Queen Anne / Seattle Center,15.6719272,121.0857257
Holding / Movement,3/8/2024|Benaroya Hall,3/8/2024,Music,Downtown,49.3840843,18.6000893
Hanako O’Leary: Izanami,Now through 1/28/2024|Frye Art Museum,Now through 1/28/2024,Museums,Capitol Hill / Central District,,
Ilana Glazer Live,2/8/2024|The Moore Theatre,2/8/2024,Theatre,Downtown,47.846262949999996,19.099619263592235
Not Available,"with Syd Gris, Chris Tower, Johnny Monsoon",share,Not Available,Not Available,8.8226416,4.974957
Not Available,Not Available,Not Available,Not Available,Not Available,26.673956,-80.128403
Not Available,Zae France,share,Not Available,Not Available,8.8226416,4.974957
A Tale of Peter Rabbit,4/25/2024 through 5/12/2024|Seattle Children's Theatre,4/25/2024 through 5/12/2024,Theatre,Queen Anne / Seattle Center,,
Fall Out Boy,3/1/2024|Climate Pledge Arena,3/1/2024,Readings & Lectures,Queen Anne / Seattle Center,-26.1457423,27.984071
Al Young’s 1970 Dodge Challenger Drag Racer,Now through 3/31/2024|Museum of History & Industry,Now through 3/31/2024,Museums,Queen Anne / Seattle Center,,
Ballard Farmers Market – Sunday,Ongoing|Ballard Farmers Market,Ongoing,Festivals & Special Events,Fremont / Ballard,15.6719272,121.0857257
Not Available,We value your support,Search for:,Not Available,Not Available,10.7469955,124.7963063
